date,price_da,price_im,ts
2019-01-12 00:00:00,0,0.05345,166824
2019-01-12 01:00:00,0,0.04184,166825
2019-01-12 02:00:00,0,0.03891,166826
2019-01-12 03:00:00,0,0.04691,166827
2019-01-12 04:00:00,0,0.0216,166828
2019-01-12 05:00:00,0,0.02339,166829
2019-01-12 06:00:00,0,0.04458,166830
2019-01-12 07:00:00,0,0.0427,166831
2019-01-12 08:00:00,0,0.04182,166832
2019-01-12 09:00:00,0,0.04252,166833
2019-01-12 10:00:00,0,0.10014,166834
2019-01-12 11:00:00,0,0.06025,166835
2019-01-12 12:00:00,0,0.05345,166836
2019-01-12 13:00:00,0,0.04365,166837
2019-01-12 14:00:00,0,0.04124,166838
2019-01-12 15:00:00,0,0.04252,166839
2019-01-12 16:00:00,0,0.0644,166840
2019-01-12 17:00:00,0,0.11845,166841
2019-01-12 18:00:00,0,0.06273,166842
2019-01-12 19:00:00,0,0.03905,166843
2019-01-12 20:00:00,0,0.03898,166844
2019-01-12 21:00:00,0,0.07019,166845
2019-01-12 22:00:00,0,0.05155,166846
2019-01-12 23:00:00,0,0.03704,166847
2019-01-13 00:00:00,0,0.03419,166848
2019-01-13 01:00:00,0,0.04461,166849
2019-01-13 02:00:00,0,0.0492,166850
2019-01-13 03:00:00,0,0.03345,166851
2019-01-13 04:00:00,0,0.05345,166852
2019-01-13 05:00:00,0,0.03803,166853
2019-01-13 06:00:00,0,0.03345,166854
2019-01-13 07:00:00,0,0.0,166855
2019-01-13 08:00:00,0,0.03784,166856
2019-01-13 09:00:00,0,0.0,166857
2019-01-13 10:00:00,0,0.30545,166858
2019-01-13 11:00:00,0,0.11919,166859
2019-01-13 12:00:00,0,0.04984,166860
2019-01-13 13:00:00,0,0.04954,166861
2019-01-13 14:00:00,0,0.04636,166862
2019-01-13 15:00:00,0,0.04611,166863
2019-01-13 16:00:00,0,0.04233,166864
2019-01-13 17:00:00,0,0.04984,166865
2019-01-13 18:00:00,0,0.13658,166866
2019-01-13 19:00:00,0,0.04149,166867
2019-01-13 20:00:00,0,0.0469,166868
2019-01-13 21:00:00,0,0.03437,166869
2019-01-13 22:00:00,0,0.03419,166870
2019-01-13 23:00:00,0,0.02177,166871
2019-01-14 00:00:00,0,0.06748,166872
2019-01-14 01:00:00,0,0.01708,166873
2019-01-14 02:00:00,0,0.0,166874
2019-01-14 03:00:00,0,0.04201,166875
2019-01-14 04:00:00,0,0.05018,166876
2019-01-14 05:00:00,0,0.056,166877
2019-01-14 06:00:00,0,0.06689,166878
2019-01-14 07:00:00,0,0.04186,166879
2019-01-14 08:00:00,0,0.12212,166880
2019-01-14 09:00:00,0,0.06854,166881
2019-01-14 10:00:00,0,0.04428,166882
2019-01-14 11:00:00,0,0.05235,166883
2019-01-14 12:00:00,0,0.04028,166884
2019-01-14 13:00:00,0,0.00278,166885
2019-01-14 14:00:00,0,0.03639,166886
2019-01-14 15:00:00,0,0.04608,166887
2019-01-14 16:00:00,0,0.08012,166888
2019-01-14 17:00:00,0,0.19459,166889
2019-01-14 18:00:00,0,0.38574,166890
2019-01-14 19:00:00,0,0.04949,166891
2019-01-14 20:00:00,0,0.05248,166892
2019-01-14 21:00:00,0,0.03248,166893
2019-01-14 22:00:00,0,0.04078,166894
2019-01-14 23:00:00,0,0.03248,166895
2019-01-15 00:00:00,0,0.03322,166896
2019-01-15 01:00:00,0,0.03852,166897
2019-01-15 02:00:00,0,0.04256,166898
2019-01-15 03:00:00,0,0.01918,166899
2019-01-15 04:00:00,0,0.0,166900
2019-01-15 05:00:00,0,0.04127,166901
2019-01-15 06:00:00,0,0.06902,166902
2019-01-15 07:00:00,0,0.04809,166903
2019-01-15 08:00:00,0,0.10202,166904
2019-01-15 09:00:00,0,0.04082,166905
2019-01-15 10:00:00,0,0.03256,166906
